"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Friday, December 01, 2023 09:42:48"
"Sample Description:"
"Batch ID:","12/01/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,834812.221
"| ","Be",9,,"ug/L",,16.667
"|-","Al",27,,"ug/L",,38794.604
"|-","V",51,,"ug/L",,-10194.995
"| ","Cr",52,,"ug/L",,9227.348
"| ","Mn",55,,"ug/L",,941.715
"| ","Fe",57,,"ug/L",,4037.230
"| ","Co",59,,"ug/L",,48.333
"| ","Ni",60,,"ug/L",,738.030
"| ","Cu",63,,"ug/L",,223.336
"| ","Zn",66,,"ug/L",,672.692
"| ","As",75,,"ug/L",,-777.457
"| ","Se",82,,"ug/L",,1.335
"|>","Ge",74,,"ug/L",,337057.015
"|-","Mo",97,,"ug/L",,81.123
"|-","Ag",107,,"ug/L",,30.667
"| ","Cd",111,,"ug/L",,53.393
"|>","In",115,,"ug/L",,417829.500
"| ","Sb",123,,"ug/L",,332.371
"|-","Ba",137,,"ug/L",,84.202
"|-","Tl",205,,"ug/L",,146.668
"| ","Pb",208,,"ug/L",,577.007
"|>","Bi",209,,"ug/L",,527843.124
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Friday, December 01, 2023 09:46:05"
"Sample Description:"
"Batch ID:","12/01/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,818760.423
"| ","Be",9,,"ug/L",,15.000
"|-","Al",27,,"ug/L",,36818.426
"|-","V",51,,"ug/L",,-10370.979
